表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,
公開日：,2022年6月21日,,,,,,,,,,,,,
,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,/項目 コード,E9101,,E9102,,E9103,,E9105,,E9106,
調査年 コード,調査年,地域 コード,地域,/項目,E9101_最終学歴人口（卒業者総数）【人】,注釈,E9102_最終学歴人口（小学校・中学校）【人】,注釈,E9103_最終学歴人口（高校・旧中）【人】,注釈,E9105_最終学歴人口（短大・高専）【人】,注釈,E9106_最終学歴人口（大学・大学院）【人】,注釈
2010100000,2010年度,2301,青森県 平内町,,10436,,4692,,4354,,886,,479,
2010100000,2010年度,2303,青森県 今別町,,2910,,1591,,1103,,127,,84,
2010100000,2010年度,2304,青森県 蓬田村,,2795,,1241,,1251,,190,,113,
2010100000,2010年度,2307,青森県 外ヶ浜町,,6253,,3383,,2304,,337,,190,
2010100000,2010年度,2321,青森県 鰺ヶ沢町,,9775,,4027,,4365,,810,,539,
2010100000,2010年度,2323,青森県 深浦町,,8429,,4156,,3395,,539,,339,
2010100000,2010年度,2343,青森県 西目屋村,,1389,,713,,519,,76,,74,
2010100000,2010年度,2361,青森県 藤崎町,,13175,,3809,,7188,,1287,,848,
2010100000,2010年度,2362,青森県 大鰐町,,9383,,3376,,4756,,730,,513,
2010100000,2010年度,2367,青森県 田舎館村,,6814,,1976,,3786,,663,,383,
2010100000,2010年度,2381,青森県 板柳町,,12681,,3687,,7054,,1077,,641,
2010100000,2010年度,2384,青森県 鶴田町,,11785,,3940,,6401,,922,,441,
2010100000,2010年度,2387,青森県 中泊町,,10884,,5843,,4210,,579,,247,
2010100000,2010年度,2401,青森県 野辺地町,,12005,,4461,,5546,,1128,,816,
2010100000,2010年度,2402,青森県 七戸町,,13912,,5376,,6284,,1301,,890,
2010100000,2010年度,2405,青森県 六戸町,,8500,,3155,,3992,,721,,505,
2010100000,2010年度,2406,青森県 横浜町,,4122,,1877,,1679,,301,,248,
2010100000,2010年度,2408,青森県 東北町,,15967,,6809,,7161,,1179,,733,
2010100000,2010年度,2411,青森県 六ヶ所村,,9233,,3800,,3577,,683,,1080,
2010100000,2010年度,2412,青森県 おいらせ町,,19197,,6085,,9779,,1681,,1197,
2010100000,2010年度,2423,青森県 大間町,,5286,,2615,,2024,,318,,325,
2010100000,2010年度,2424,青森県 東通村,,6200,,3274,,2282,,297,,345,
2010100000,2010年度,2425,青森県 風間浦村,,2151,,1157,,786,,106,,100,
2010100000,2010年度,2426,青森県 佐井村,,2123,,1344,,599,,98,,71,
2010100000,2010年度,2441,青森県 三戸町,,9606,,3887,,4392,,723,,546,
2010100000,2010年度,2442,青森県 五戸町,,15864,,6160,,7500,,1246,,906,
2010100000,2010年度,2443,青森県 田子町,,5265,,2751,,1959,,349,,203,
2010100000,2010年度,2445,青森県 南部町,,16561,,5876,,8117,,1342,,956,
2010100000,2010年度,2446,青森県 階上町,,11349,,4538,,5456,,768,,506,
2010100000,2010年度,2450,青森県 新郷村,,2511,,1370,,903,,144,,80,
2010100000,2010年度,3201,岩手県 盛岡市,,234172,,33409,,100873,,33694,,40195,
2010100000,2010年度,3202,岩手県 宮古市,,49568,,17919,,23353,,4082,,3557,
2010100000,2010年度,3203,岩手県 大船渡市,,33689,,11263,,16707,,2875,,2516,
2010100000,2010年度,3205,岩手県 花巻市,,83028,,20387,,41168,,9253,,7951,
2010100000,2010年度,3206,岩手県 北上市,,74459,,15626,,39287,,8836,,7809,
2010100000,2010年度,3207,岩手県 久慈市,,30028,,11560,,13464,,2613,,2081,
2010100000,2010年度,3208,岩手県 遠野市,,24803,,9748,,11354,,2194,,1462,
2010100000,2010年度,3209,岩手県 一関市,,105709,,31403,,54676,,9887,,8277,
2010100000,2010年度,3210,岩手県 陸前高田市,,19680,,7442,,8888,,1785,,1332,
2010100000,2010年度,3211,岩手県 釜石市,,33873,,11370,,16767,,3086,,2555,
2010100000,2010年度,3213,岩手県 二戸市,,24659,,9944,,10799,,2205,,1630,
2010100000,2010年度,3214,岩手県 八幡平市,,24338,,10783,,10366,,1849,,1258,
2010100000,2010年度,3215,岩手県 奥州市,,102755,,26816,,55614,,10348,,8005,
2010100000,2010年度,3216,岩手県 滝沢市,,41153,,7978,,22334,,5311,,4281,
2010100000,2010年度,3301,岩手県 雫石町,,15032,,5319,,7088,,1403,,950,
2010100000,2010年度,3302,岩手県 葛巻町,,6398,,3776,,1954,,418,,248,
2010100000,2010年度,3303,岩手県 岩手町,,12546,,5910,,5060,,895,,611,
2010100000,2010年度,3321,岩手県 紫波町,,26863,,5581,,14761,,3110,,2491,
2010100000,2010年度,3322,岩手県 矢巾町,,21062,,4013,,11296,,2830,,2449,
2010100000,2010年度,3366,岩手県 西和賀町,,5801,,2745,,2265,,500,,284,
2010100000,2010年度,3381,岩手県 金ケ崎町,,13322,,3428,,7060,,1426,,963,
2010100000,2010年度,3402,岩手県 平泉町,,6989,,2338,,3552,,594,,404,
2010100000,2010年度,3441,岩手県 住田町,,5372,,2466,,2085,,512,,297,
2010100000,2010年度,3461,岩手県 大槌町,,12880,,5026,,6203,,1066,,578,
2010100000,2010年度,3482,岩手県 山田町,,15579,,6486,,7139,,1185,,692,
2010100000,2010年度,3483,岩手県 岩泉町,,9336,,4881,,3314,,600,,500,
2010100000,2010年度,3484,岩手県 田野畑村,,3261,,1606,,1252,,236,,134,
2010100000,2010年度,3485,岩手県 普代村,,2611,,1303,,1062,,158,,88,
2010100000,2010年度,3501,岩手県 軽米町,,8656,,4523,,3142,,668,,313,
2010100000,2010年度,3503,岩手県 野田村,,3848,,1869,,1548,,277,,143,
2010100000,2010年度,3506,岩手県 九戸村,,5493,,2669,,2260,,390,,163,
2010100000,2010年度,3507,岩手県 洋野町,,14860,,7520,,5728,,1031,,575,
2010100000,2010年度,3524,岩手県 一戸町,,12082,,5782,,4626,,968,,634,
2010100000,2010年度,4100,宮城県 仙台市,,813663,,76437,,339745,,116516,,169876,
2010100000,2010年度,4101,宮城県 仙台市 青葉区,,220111,,16691,,77424,,32161,,53764,
2010100000,2010年度,4102,宮城県 仙台市 宮城野区,,151643,,16008,,71591,,21134,,25475,
2010100000,2010年度,4103,宮城県 仙台市 若林区,,104973,,13212,,49838,,14050,,18742,
2010100000,2010年度,4104,宮城県 仙台市 太白区,,173076,,18612,,76101,,24412,,33759,
2010100000,2010年度,4105,宮城県 仙台市 泉区,,163860,,11914,,64791,,24759,,38136,
2010100000,2010年度,4202,宮城県 石巻市,,132287,,37897,,69797,,9363,,9336,
2010100000,2010年度,4203,宮城県 塩竈市,,46798,,10069,,25335,,4681,,5433,
2010100000,2010年度,4205,宮城県 気仙沼市,,61606,,17776,,31113,,4776,,3829,
2010100000,2010年度,4206,宮城県 白石市,,31031,,9633,,15715,,2443,,2909,
2010100000,2010年度,4207,宮城県 名取市,,56744,,8390,,29819,,7320,,8864,
2010100000,2010年度,4208,宮城県 角田市,,25950,,6717,,12706,,2092,,2224,
2010100000,2010年度,4209,宮城県 多賀城市,,49316,,7955,,27768,,5926,,6746,
2010100000,2010年度,4211,宮城県 岩沼市,,34790,,5774,,19293,,4064,,4936,
2010100000,2010年度,4212,宮城県 登米市,,69516,,18682,,32224,,4845,,3732,
2010100000,2010年度,4213,宮城県 栗原市,,63304,,19740,,32611,,5134,,4161,
2010100000,2010年度,4214,宮城県 東松島市,,34468,,8317,,20486,,3024,,2560,
2010100000,2010年度,4215,宮城県 大崎市,,110138,,25667,,61329,,9713,,10263,
2010100000,2010年度,4216,宮城県 富谷市,,34666,,3792,,17520,,5312,,6206,
2010100000,2010年度,4301,宮城県 蔵王町,,10698,,3549,,5669,,716,,639,
2010100000,2010年度,4302,宮城県 七ヶ宿町,,1450,,743,,535,,71,,76,
2010100000,2010年度,4321,宮城県 大河原町,,18892,,3721,,10507,,1861,,2497,
2010100000,2010年度,4322,宮城県 村田町,,9968,,3147,,5504,,672,,606,
2010100000,2010年度,4323,宮城県 柴田町,,30663,,6022,,17792,,2956,,3463,
2010100000,2010年度,4324,宮城県 川崎町,,8390,,3234,,4018,,577,,431,
2010100000,2010年度,4341,宮城県 丸森町,,13160,,4806,,6741,,812,,684,
2010100000,2010年度,4361,宮城県 亘理町,,28000,,5798,,17096,,2538,,2380,
2010100000,2010年度,4362,宮城県 山元町,,14188,,3619,,8126,,1193,,1012,
2010100000,2010年度,4401,宮城県 松島町,,12823,,3164,,7042,,1095,,1247,
2010100000,2010年度,4404,宮城県 七ヶ浜町,,16270,,4238,,9379,,1308,,1258,
2010100000,2010年度,4406,宮城県 利府町,,25899,,3471,,14413,,3423,,3876,
2010100000,2010年度,4421,宮城県 大和町,,19762,,4121,,10906,,1945,,1996,
2010100000,2010年度,4422,宮城県 大郷町,,7512,,2300,,4339,,528,,341,
2010100000,2010年度,4424,宮城県 大衡村,,4298,,1265,,2547,,251,,227,
